year,name,rank,citizenship,countrycode,networthusbillion,selfmade,typeofwealth,gender,age,industry,IndustryAggregates,region,north,politicalconnection,founder,generationofinheritance,sector,company,companytype,relationshiptocompany,foundingdate,gdpcurrentus,sourceofwealth,notes,notes2,source,source_2,source_3,source_4
1996,Akio Morita,156,Japan,JPN,2.3,self-made,founder non-finance,male,0,Consumer,Traded Sectors,East Asia,1,,1,0,technology,Sony,new,founder,1946,4.71E+12,,,,http://en.wikipedia.org/wiki/Akio_Morita,http://www.nytimes.com/1999/10/04/business/akio-morita-co-founder-of-sony-and-japanese-business-leader-dies-at-78.html?pagewanted=all,,
1996,Kim Woo-choong,157,South Korea,KOR,2.3,self-made,privatized and resources,male,0,Diversified financial,Financial,East Asia,1,1,1,0,textiles,Daewoo Group,new,founder,1967,6.03E+11,,convicted of embezzlement in 2006,,http://en.wikipedia.org/wiki/Kim_Woo-jung,,,
2014,Elon Musk,158,United States,USA,8.4,self-made,founder non-finance,male,42,Consumer,Traded Sectors,North America,1,,1,0,technology,"Paypal, SpaceX, Tesla Motors",new,investor/founder,1999,,Tesla Motors,,,http://en.wikipedia.org/wiki/Elon_Musk,http://www.mercurynews.com/business/ci_25541448/timeline-elon-musk-accomplishments,,
2014,Joseph Lau,158,Hong Kong,HKG,8.4,self-made,self-made finance,male,62,Real Estate,Financial,East Asia,0,,1,0,real estate,Chinese Estates Holdings,new,founder,1978,,real estate,,,http://www.chineseestates.com/eng/Page/Group+Profile/Corporate+History/Chinese+Estates+Holdings+Limited.aspx,,,
1996,Kjeld Kirk Kristiansen,158,Denmark,DNK,2.3,inherited,inherited,male,48,Consumer,Traded Sectors,Europe,1,,0,Third generation,toys,Lego,new,relation,1949,1.88E+11,,3rd generation,two sisters (one deceased),http://en.wikipedia.org/wiki/Kjeld_Kirk_Kristiansen,http://www.forbes.com/profile/kjeld-kirk-kristiansen/,http://www.lego.com/en-us/aboutus,
1996,Stephan Schmidheiny,159,Switzerland,CHE,2.3,inherited,inherited,male,48,Money Management,Financial,Europe,1,,0,Fourth generation,construction,Holcim,new,relation,1912,3.30E+11,,"4th generation, recently sentanced to 18 years in prison for gross negligence relating to exposure of customers to asbestos",,http://en.wikipedia.org/wiki/Stephan_Schmidheiny,,http://en.wikipedia.org/wiki/Thomas_Schmidheiny,
2014,August von Finck,160,Germany,DEU,8.3,inherited,inherited,male,83,Diversified financial,Financial,Europe,1,,0,inherited from father,banking/insurance,"Allianz, Merk Finck & Co",new,relation,1890,,investments,father benefitted from sale of SM von Rothschild in 1939,,"http://en.wikipedia.org/wiki/August_von_Finck,_Sr.",http://www.forbes.com/profile/august-von-finck/,,
2014,Ricardo Salinas Pliego,160,Mexico,MEX,8.3,inherited,inherited,male,58,"Retail, Restaurant",Non-Traded Sectors,Latin America,0,,0,Fourth generation,telecommunications,Grupo Salinas/Group Elektra,new,relation,1906,,"retail, media",4th generation,,http://en.wikipedia.org/wiki/Ricardo_Salinas_Pliego,"LOS ANGELES TIMES INTERVIEW;  RICARDO SALINAS PLIEGO;  INVESTING IN MEXICO'S FUTURE--AND REAPING MILLIONS IN PROFIT Los Angeles Times July 12, 1998, Sunday,",,
1996,Robert Bass,160,United States,USA,2.3,inherited,inherited,male,48,Energy,Resource Related,North America,1,,0,inherited from father,oil,Sid Richardson Gasoline Co,new,relation,1919,8.10E+12,,inherited from uncle/father,,http://en.wikipedia.org/wiki/Robert_Bass,http://en.wikipedia.org/wiki/Sid_W._Richardson,http://www.dmagazine.com/publications/d-magazine/1995/november/power-who-runs-fort-worth,
1996,Andronico Luksic,161,Chile,CHL,2.2,self-made,privatized and resources,male,69,Mining and metals,Resource Related,Latin America,0,,1,0,copper,Antofagasta,aquired,founder,1888,7.58E+10,,,,http://en.wikipedia.org/wiki/Antofagasta_plc,http://en.wikipedia.org/wiki/Andr%C3%B3nico_Luksic_Abaroa,,
